,A,B,M,N,V/I
406,-41.0,7.0,-25.0,-9.0,0.5932118713984649
407,-39.0,9.0,-23.0,-7.0,0.6119205736580254
408,-37.0,11.0,-21.0,-5.0,0.6222735582611274
409,-35.0,13.0,-19.0,-3.0,0.6133563984305775
410,-33.0,15.0,-17.0,-1.0,0.5861366895274766
411,-31.0,17.0,-15.0,1.0,0.5518606854855321
412,-29.0,19.0,-13.0,3.0,0.519953725175763
413,-27.0,21.0,-11.0,5.0,0.4951804576113387
414,-25.0,23.0,-9.0,7.0,0.47909416350731526
415,-23.0,25.0,-7.0,9.0,0.4718872068324044
416,-21.0,27.0,-5.0,11.0,0.47351062140352246
417,-19.0,29.0,-3.0,13.0,0.48334818869532936
418,-17.0,31.0,-1.0,15.0,0.499594827310309
419,-15.0,33.0,1.0,17.0,0.5197073240060621
420,-13.0,35.0,3.0,19.0,0.5414087453261176
421,-11.0,37.0,5.0,21.0,0.5632359060932465
422,-9.0,39.0,7.0,23.0,0.5845297064668017
423,-7.0,41.0,9.0,25.0,0.6038083378740786
424,-5.0,43.0,11.0,27.0,0.6145918232462433
425,-3.0,45.0,13.0,29.0,0.6072342235297554
426,-1.0,47.0,15.0,31.0,0.5831311388651963
427,1.0,49.0,17.0,33.0,0.552780407138719
428,3.0,51.0,19.0,35.0,0.5246292826039082
429,5.0,53.0,21.0,37.0,0.5025655006210303
430,7.0,55.0,23.0,39.0,0.48720604431785236
431,9.0,57.0,25.0,41.0,0.4774343810728337
432,11.0,59.0,27.0,43.0,0.4716046953267876
433,13.0,61.0,29.0,45.0,0.46826265888269264
434,15.0,63.0,31.0,47.0,0.4663844691241641
435,17.0,65.0,33.0,49.0,0.46533498842771154
436,19.0,67.0,35.0,51.0,0.4647465860751299
437,21.0,69.0,37.0,53.0,0.46441372088222366
438,23.0,71.0,39.0,55.0,0.46422307423481146
439,25.0,73.0,41.0,57.0,0.46411229544799243
440,27.0,75.0,43.0,59.0,0.4640469080258732
441,29.0,77.0,45.0,61.0,0.46400767730953246
442,31.0,79.0,47.0,63.0,0.46398375015339777
443,33.0,81.0,49.0,65.0,0.4639689239486087
444,35.0,83.0,51.0,67.0,0.46395960488927496
445,37.0,85.0,53.0,69.0,0.46395368061636233
446,39.0,87.0,55.0,71.0,0.46394989112706764
447,41.0,89.0,57.0,73.0,0.46394747363505284
448,43.0,91.0,59.0,75.0,0.4639459596057209
449,45.0,93.0,61.0,77.0,0.4639450572667484
450,47.0,95.0,63.0,79.0,0.4639445826918969
451,49.0,97.0,65.0,81.0,0.46394441881752424
452,51.0,99.0,67.0,83.0,0.46394449070746735
453,53.0,101.0,69.0,85.0,0.46394475035745303
454,55.0,103.0,71.0,87.0,0.46394516710826905
455,57.0,105.0,73.0,89.0,0.46394572127545275
456,59.0,107.0,75.0,91.0,0.46394639940751126
457,61.0,109.0,77.0,93.0,0.4639471898966735
458,63.0,111.0,79.0,95.0,0.46394807754795225
459,65.0,113.0,81.0,97.0,0.46394903505814566
460,67.0,115.0,83.0,99.0,0.463950007842625
461,69.0,117.0,85.0,101.0,0.4639508856286431
462,71.0,119.0,87.0,103.0,0.463951448666334
463,73.0,121.0,89.0,105.0,0.46395126722015784
464,75.0,123.0,91.0,107.0,0.46394952135370415
465,77.0,125.0,93.0,109.0,0.4639447047126481
466,79.0,127.0,95.0,111.0,0.4639342133578279
467,-127.0,-31.0,-95.0,-63.0,0.08150954877978558
468,-125.0,-29.0,-93.0,-61.0,0.0815075931466337
469,-123.0,-27.0,-91.0,-59.0,0.08150602665145201
470,-121.0,-25.0,-89.0,-57.0,0.08150529199083659
471,-119.0,-23.0,-87.0,-55.0,0.0815060357962936
472,-117.0,-21.0,-85.0,-53.0,0.08150935544993673
473,-115.0,-19.0,-83.0,-51.0,0.08151724363786718
474,-113.0,-17.0,-81.0,-49.0,0.08153340078655566
475,-111.0,-15.0,-79.0,-47.0,0.08156473412847053
476,-109.0,-13.0,-77.0,-45.0,0.08162408371315036
477,-107.0,-11.0,-75.0,-43.0,0.08173480945076088
478,-105.0,-9.0,-73.0,-41.0,0.08193629262545675
479,-103.0,-7.0,-71.0,-39.0,0.08228051805717865
480,-101.0,-5.0,-69.0,-37.0,0.08280162464321009
481,-99.0,-3.0,-67.0,-35.0,0.0835103101719528
482,-97.0,-1.0,-65.0,-33.0,0.08441321994153206
483,-95.0,1.0,-63.0,-31.0,0.08545375923454668
484,-93.0,3.0,-61.0,-29.0,0.08652154200017141
